account,transaction_date,description_1,description_2,amount,amount_us,notes,category,sub_category
Credit Card 1,2022-06-26,"Hirthe, King and Collins",,611.38,,,,
Credit Card 1,2022-02-08,Stiedemann-Douglas,,-193.53,,,,
Credit Card 1,2023-05-06,"Cruickshank, Feeney and Mayert",Broadcasting,191.83,,,,
Credit Card 1,2022-12-21,Fritsch and Sons,Auto Parts:O.E.M.,-888.41,,,,
Bank 2,2023-01-05,Keebler-Ankunding,n/a,-776.13,,,,
Credit Card 1,2022-10-21,Corkery-Macejkovic,,-690.95,,,,
Credit Card 2,2022-11-29,Harris-Stokes,,-846.63,,,,
Credit Card 2,2022-10-19,"Johns, Hickle and Stroman",n/a,506.75,,,,
Bank 2,2022-03-12,Tromp-Lubowitz,,-358.51,,,,
Bank 2,2022-09-18,Champlin-Wiegand,,92.95,,,,
Bank 1,2023-01-20,Witting Group,,-442.01,,,,
Credit Card 1,2022-12-06,Wisozk and Sons,,-450.78,,,,
Bank 2,2022-05-17,Tremblay and Sons,,-762.32,,,,
Bank 2,2022-02-17,Lebsack Group,n/a,849.63,,,,
Credit Card 2,2022-06-06,"Stoltenberg, Sipes and Bashirian",n/a,-364.86,,,,
Credit Card 2,2022-06-19,Krajcik-Sipes,,-471.28,,,,
Bank 1,2022-08-08,Schneider LLC,Property-Casualty Insurers,-368.58,,,,
Credit Card 2,2022-06-16,Zieme LLC,Packaged Foods,-972.77,,,,
Bank 2,2022-03-23,"Anderson, Hodkiewicz and Hayes",,-461.35,,,,
Credit Card 1,2022-08-20,"Hahn, Kilback and Blick",,139.43,,,,
Bank 2,2022-12-14,Conroy Inc,Major Banks,-8.47,,,,
Bank 1,2023-04-25,Hermiston-Hodkiewicz,Multi-Sector Companies,-27.37,,,,
Bank 2,2022-12-14,"Mills, Harvey and Predovic",,-581.52,,,,
Credit Card 1,2023-05-19,"Ondricka, Collier and Nader",Banks,-629.33,,,,
Bank 2,2022-02-11,Ryan Inc,Computer Software: Prepackaged Software,673.83,,,,
Credit Card 2,2022-11-30,"Blick, Schaefer and Green",Telecommunications Equipment,-799.24,,,,
Bank 2,2022-03-29,"Purdy, Kuhn and McCullough",Major Banks,-305.13,,,,
Bank 2,2022-02-01,Shields Inc,Major Pharmaceuticals,-479.8,,,,
Credit Card 1,2022-08-13,Stehr-Yost,Restaurants,642.66,,,,
Bank 1,2022-06-29,Braun-Johnston,,-984.27,,,,
Bank 1,2022-06-05,"Kuhic, Lesch and Olson",Major Banks,-240.63,,,,
Credit Card 2,2023-02-22,"Armstrong, Lakin and Casper",Medical Specialities,-815.59,,,,
Bank 1,2022-01-06,"Willms, Jerde and Hegmann",,-678.88,,,,
Bank 2,2022-10-06,Corkery-McGlynn,,550.64,,,,
Credit Card 1,2022-09-30,"Nikolaus, Gorczany and Hartmann",Accident &Health Insurance,-75.79,,,,
Credit Card 2,2022-04-11,Gerlach-Feeney,,153.15,91,,,
Bank 1,2022-10-11,Denesik Inc,,-256.54,,,,
Bank 1,2022-07-10,Olson Group,Industrial Specialties,-844.13,,,,
Credit Card 2,2022-05-22,"Wehner, Mann and Block",n/a,-702.25,,,,
Bank 1,2023-01-15,Flatley Inc,n/a,-187.83,,,,
Bank 2,2023-03-06,Haley-Paucek,Apparel,-707.71,,,,
Credit Card 1,2022-02-07,Jerde Inc,,591.42,,,,
Credit Card 2,2022-12-10,Langosh and Sons,,472.07,,,,
Bank 2,2022-09-09,Schinner-Hahn,,-34.23,,,,
Bank 1,2022-05-23,Satterfield-Lakin,,-847.86,,,,
Credit Card 2,2022-03-20,Moore-Shanahan,,653.44,,,,
Credit Card 2,2022-10-06,"Erdman, Cartwright and McDermott",,-799.12,,,,
Credit Card 1,2023-04-19,"McGlynn, Becker and Murazik",,313.47,,,,
Credit Card 2,2022-11-30,Cole Inc,Major Pharmaceuticals,167.76,,,,
Bank 1,2022-08-01,"Witting, Sawayn and Russel",Major Pharmaceuticals,-1.12,,,,
Bank 2,2023-05-16,Windler-Kling,,509.69,,,,
Credit Card 1,2022-09-10,Gerhold Group,,439.5,,,,
Credit Card 2,2023-01-02,"Kub, Ritchie and Walter",,146.82,,,,
Credit Card 2,2022-02-19,Powlowski Group,Oil & Gas Production,-644.05,,,,
Bank 1,2022-01-21,"Frami, Flatley and Bergstrom",,147.7,,,,
Bank 1,2022-07-23,Marquardt-Gorczany,Oil & Gas Production,-153.74,,,,
Credit Card 1,2022-05-01,"Kuhlman, Torp and Stamm",Broadcasting,939.64,,,,
Credit Card 1,2023-01-19,McDermott and Sons,,979.54,,,,
Bank 2,2022-03-18,Runte and Sons,,506.39,,,,
Credit Card 1,2022-11-17,Goyette LLC,,-7.4,,,,
Credit Card 1,2022-06-26,Hickle-Stehr,,662.64,,,,
Credit Card 1,2022-12-04,"Dietrich, O'Conner and Schaefer",Farming/Seeds/Milling,-602.32,,,,
Credit Card 2,2022-11-04,"Breitenberg, Conn and Langworth",Biotechnology: Laboratory Analytical Instruments,-69.99,,,,
Bank 2,2022-10-25,Kihn-Hartmann,Major Pharmaceuticals,393.8,,,,
Credit Card 1,2022-08-12,Stark LLC,,217.45,,,,
Credit Card 2,2022-06-08,Hoeger-Crist,,-725.75,,,,
Bank 2,2022-04-22,"Morissette, Johnston and Gottlieb",Investment Managers,-547.72,,,,
Credit Card 1,2022-05-27,"Douglas, Ritchie and O'Reilly",n/a,-859.53,,,,
Credit Card 2,2022-08-08,"Douglas, Weissnat and Denesik",,613.98,,,,
Bank 2,2022-04-19,Bayer-Kunde,n/a,-340.17,,,,
Bank 2,2023-01-22,Gusikowski LLC,Pollution Control Equipment,712.39,,,,
Credit Card 2,2023-02-28,Welch and Sons,Electric Utilities: Central,-848.88,,,,
Bank 1,2022-01-25,O'Reilly Group,n/a,-389.44,,,,
Bank 1,2022-02-03,Stoltenberg-Moore,Building Materials,383.35,,,,
Credit Card 1,2022-05-01,Christiansen-Volkman,Business Services,-49.98,,,,
Bank 2,2022-08-29,Lesch-Grady,Other Consumer Services,-903.78,,,,
Credit Card 1,2023-04-29,Becker Group,,141.72,,,,
Bank 2,2023-04-13,"Herman, Brown and Rowe",n/a,49.46,21,,,
Bank 1,2022-11-23,"Bayer, Jacobson and Kuhic",,-463.54,,,,
Bank 1,2023-04-18,Roberts Inc,Major Banks,-553.63,,,,
Credit Card 2,2022-11-30,Adams Group,,576.85,,,,
Credit Card 1,2022-07-09,"Erdman, Murazik and Hills",Paper,-720.59,,,,
Bank 2,2022-02-06,"Koch, Mueller and Roberts",,-621.6,,,,
Bank 1,2023-01-01,"Crist, Wehner and Lindgren",,-668.1,,,,
Credit Card 2,2023-04-16,"Swaniawski, Legros and Witting",,469.03,,,,
Bank 1,2023-05-14,"Schroeder, Oberbrunner and Doyle",n/a,210.07,,,,
Credit Card 2,2022-05-07,Schaefer LLC,,971.06,,,,
Bank 2,2022-09-07,Hodkiewicz Inc,Investment Bankers/Brokers/Service,-226.35,,,,
Credit Card 2,2022-03-03,"Hegmann, Hoeger and Reichert",,13.54,,,,
Credit Card 1,2022-10-26,"Hilpert, Sipes and Littel",,-852.37,,,,
Credit Card 2,2023-01-09,Kohler-Abernathy,General Bldg Contractors - Nonresidential Bldgs,963.87,,,,
Bank 1,2022-03-05,Jacobs Inc,,863.96,,,,
Bank 2,2022-07-03,Kozey LLC,n/a,122.96,,,,
Credit Card 1,2022-02-25,Kuvalis-Dicki,Marine Transportation,395.01,,,,
Credit Card 1,2022-03-20,"Adams, Rath and Durgan",Industrial Machinery/Components,-420.58,,,,
Bank 2,2022-11-28,Kassulke-Wolf,Business Services,-996.61,,,,
Credit Card 2,2023-02-22,Block LLC,,-463.05,,,,
Bank 2,2022-12-17,"Boehm, Dietrich and Dickens",,-749.1,,,,
Bank 2,2022-06-25,Welch-Konopelski,Industrial Machinery/Components,-404.62,,,,
Bank 1,2022-09-24,Schowalter-Balistreri,Major Banks,-553.58,,,,
Bank 1,2023-05-26,"Reinger, Lakin and Cartwright",Major Pharmaceuticals,796.14,,,,
Credit Card 1,2023-01-05,Yost-Wolff,,850.52,,,,
Credit Card 1,2023-02-13,Wiegand Group,Natural Gas Distribution,-352.44,,,,
Bank 1,2022-11-26,Stamm Inc,,684.78,,,,
Bank 1,2022-08-16,Maggio and Sons,n/a,550.84,,,,
Bank 2,2023-03-24,Ernser and Sons,n/a,960.88,,,,
Credit Card 2,2022-12-25,"Grant, Mills and Mosciski",Major Pharmaceuticals,-182.5,,,,
Credit Card 1,2022-04-19,"Predovic, Mosciski and Kunze",Property-Casualty Insurers,-87.2,,,,
Bank 1,2022-10-24,Wunsch Group,,-670.97,,,,
Bank 1,2022-11-12,"Heller, Fadel and Mills",,-28.22,,,,
Bank 2,2022-04-09,"Walker, Stark and Bauch",Industrial Machinery/Components,-534.46,,,,
Bank 1,2023-03-18,Price-Frami,,-273.19,,,,
Credit Card 1,2022-02-12,"Baumbach, Ritchie and Turcotte",,-210.38,,,,
Bank 2,2022-12-03,Kshlerin Group,,423.68,,,,
Credit Card 2,2022-11-04,Zboncak Inc,,226.86,,,,
Credit Card 1,2022-06-19,"Gorczany, Turner and Kilback",n/a,807.02,,,,
Bank 1,2023-04-16,"Windler, Herman and Grant",Medical Specialities,-85.09,,,,
Bank 2,2022-04-12,Bartoletti-Macejkovic,n/a,-609.67,,,,
Bank 2,2022-04-23,Stanton-Koch,,-494.3,,,,
Bank 2,2023-01-26,"Douglas, Bayer and Hills",n/a,-762.48,,,,
Bank 2,2023-01-31,Buckridge-Hettinger,Medical Specialities,-747.21,,,,
Bank 1,2022-06-30,"Kuhic, Goyette and Emard",n/a,710.1,,,,
Bank 1,2022-09-16,"Bartoletti, Osinski and Lakin",Business Services,987.66,,,,
Bank 1,2022-01-01,Kilback-Ortiz,,913.16,91,,,
Credit Card 2,2022-06-30,Schuster Inc,Real Estate Investment Trusts,-84.69,,,,
Credit Card 2,2022-06-14,Purdy-Franecki,,851.32,,,,
Credit Card 2,2023-01-09,Wisozk-Mohr,Real Estate Investment Trusts,360.24,,,,
Bank 1,2023-04-25,"Franecki, MacGyver and Wiegand",,858.94,,,,
Bank 1,2022-05-03,"Bartoletti, Swift and Kohler",,-798.2,,,,
Bank 1,2022-10-27,"Hayes, Erdman and Aufderhar",,-728.18,,,,
Bank 2,2023-03-29,Lueilwitz-Bergnaum,,754.64,,,,
Bank 2,2022-08-18,Funk LLC,EDP Services,199.74,,,,
Credit Card 1,2023-03-17,Schoen LLC,Hospital/Nursing Management,-694.01,,,,
Credit Card 2,2023-03-13,Cronin Inc,Major Chemicals,941.79,,,,
Bank 1,2022-08-18,"Nader, Pfannerstill and Rau",Major Pharmaceuticals,-698.14,,,,
Bank 2,2022-11-02,Lowe and Sons,Property-Casualty Insurers,886.08,,,,
Bank 1,2023-04-20,Larkin Group,Department/Specialty Retail Stores,-871.08,,,,
Bank 2,2022-02-28,Lindgren-Schmeler,n/a,-653.63,,,,
Credit Card 1,2022-07-19,Schulist and Sons,,876.45,,,,
Credit Card 1,2023-04-06,"Mayert, Strosin and Wilderman",,571.07,,,,
Credit Card 1,2022-10-02,"Ullrich, Veum and Cummings",Business Services,342.09,,,,
Bank 2,2023-01-20,Will Group,Military/Government/Technical,-556.28,,,,
Bank 2,2022-06-16,"Goldner, Beier and Bechtelar",,-449.33,,,,
Bank 2,2023-05-01,Mayer and Sons,,-245.95,,,,
Bank 2,2022-06-18,Wintheiser-Nienow,Biotechnology: Biological Products (No Diagnostic Substances),-946.78,,,,
Credit Card 2,2022-03-09,Herzog-Kovacek,,601.33,,,,
Credit Card 1,2023-01-26,Bailey Group,Real Estate Investment Trusts,-744.6,,,,
Credit Card 2,2022-03-28,Hartmann and Sons,,-497.78,,,,
Bank 2,2022-11-19,"Denesik, Rau and Morar",,457.97,,,,
Credit Card 1,2022-09-11,"Barrows, Gerlach and Thiel",,670.73,,,,
Bank 2,2022-08-17,McGlynn-Bartell,n/a,-357.72,,,,
Credit Card 2,2022-01-20,Hettinger-McDermott,n/a,766.19,,,,
Bank 1,2022-07-10,Ortiz Group,Metal Fabrications,914.46,,,,
Credit Card 2,2022-05-01,Gutmann-Rolfson,Apparel,308.35,,,,
Bank 2,2022-11-02,"Zemlak, Harvey and Harvey",,367.6,,,,
Credit Card 1,2022-01-27,"Kovacek, Morar and Davis",Telecommunications Equipment,-778.01,,,,
Bank 1,2023-05-27,Hartmann Inc,,902.76,,,,
Credit Card 1,2023-03-25,Greenfelder-Willms,,631.18,,,,
Bank 1,2022-07-06,"Lind, Ebert and Klein",,202.37,,,,
Credit Card 1,2023-03-01,"Wintheiser, Beer and Shields",Semiconductors,768.68,,,,
Credit Card 2,2022-01-07,Sawayn-Hermann,,-908.62,,,,
Bank 1,2022-07-03,Prohaska-Ortiz,,-747.27,,,,
Bank 2,2022-06-11,Batz-Quigley,,-354.16,,,,
Credit Card 1,2022-11-29,Mosciski-Schneider,,-53.82,,,,
Credit Card 2,2023-02-26,Heller LLC,Newspapers/Magazines,738.63,,,,
Credit Card 2,2023-01-15,"Dare, Cremin and Keeling",Major Banks,213.33,,,,
Bank 2,2022-07-03,"Ferry, Howell and Pfannerstill",Biotechnology: In Vitro & In Vivo Diagnostic Substances,438.16,,,,
Bank 2,2023-03-20,Botsford-McClure,,409.58,,,,
Bank 1,2022-04-28,Huel-Goodwin,Property-Casualty Insurers,266.31,,,,
Bank 1,2022-01-06,Frami-Kozey,,-636.22,,,,
Bank 2,2023-05-19,"Lindgren, Pagac and Kshlerin",Medical/Dental Instruments,-56.76,,,,
Credit Card 1,2022-07-05,Rippin and Sons,,-346.66,,,,
Credit Card 1,2022-08-23,"Green, Nienow and Huel",Home Furnishings,-739.41,,,,
Bank 2,2023-03-31,Considine Inc,n/a,671.82,,,,
Credit Card 2,2023-01-01,Lynch Group,n/a,731.57,,,,
Bank 1,2023-02-13,Hintz Inc,,285.59,,,,
Bank 1,2022-07-23,"Senger, Sauer and Funk",,524.43,,,,
Bank 2,2022-11-28,DuBuque-Hand,Precious Metals,23.99,,,,
Credit Card 1,2022-10-01,Donnelly Group,,-373.59,,,,
Credit Card 1,2023-01-11,"Mann, Prohaska and Quigley",Property-Casualty Insurers,-868.86,,,,
Bank 1,2022-01-14,Kirlin-Baumbach,,320.43,,,,
Credit Card 1,2022-03-18,DuBuque-Monahan,Real Estate Investment Trusts,614.23,,,,
Credit Card 2,2023-03-22,Walter-Heathcote,n/a,-103.99,,,,
Bank 2,2022-06-30,Purdy LLC,Precious Metals,-115.36,,,,
Credit Card 1,2022-12-13,"Sipes, Boyer and Carroll",Radio And Television Broadcasting And Communications Equipment,-195.03,,,,
Credit Card 1,2022-09-27,Leffler LLC,Oil & Gas Production,-86.02,,,,
Credit Card 2,2022-08-24,Pfannerstill-Hodkiewicz,Package Goods/Cosmetics,838.78,,,,
Bank 2,2023-05-06,Yost-Blick,Department/Specialty Retail Stores,-204.76,,,,
Bank 1,2022-09-12,Ferry-Lang,n/a,771.77,,,,
Bank 2,2022-07-03,Gleason-Strosin,,873.81,,,,
Credit Card 2,2022-11-04,Wolf-Kreiger,,-87.82,,,,
Bank 2,2022-02-05,"Beier, Dibbert and Cruickshank",,682.58,,,,
Bank 1,2022-04-09,Rosenbaum-Homenick,Semiconductors,54.1,,,,
Credit Card 1,2022-08-10,Zieme Group,,-704.68,,,,
Bank 1,2022-06-15,Kub-Collins,,-509.02,,,,
Credit Card 2,2023-05-15,"Spinka, Wolff and Ernser",Investment Bankers/Brokers/Service,435.09,,,,
Bank 1,2022-01-31,Wisozk-Stoltenberg,,143.57,,,,
Credit Card 1,2022-06-08,Hodkiewicz-Davis,,442.56,,,,
Bank 1,2023-05-12,Jast-Smitham,,-131.94,,,,
Credit Card 2,2022-01-12,Graham-McCullough,,-203.73,,,,
Bank 1,2022-10-01,Greenholt-Christiansen,EDP Services,552.33,,,,
Bank 2,2022-03-08,Lind LLC,Major Pharmaceuticals,-450.24,,,,
Bank 1,2023-01-04,Jerde-Mohr,n/a,601.81,,,,
Bank 1,2022-11-14,"Berge, Rolfson and Fadel",,535.39,,,,
Credit Card 1,2022-09-19,Grant and Sons,Finance: Consumer Services,-148.66,,,,
Bank 2,2022-02-09,Kerluke LLC,Hotels/Resorts,-389.23,,,,
Bank 2,2023-04-28,Mayer-Flatley,EDP Services,-657.68,,,,
Credit Card 1,2022-12-14,Kuhlman Group,Major Chemicals,663.93,,,,
Credit Card 1,2023-04-08,Cruickshank Group,n/a,-666.05,,,,
Credit Card 1,2022-08-25,"Lindgren, Barrows and Kreiger",Biotechnology: Biological Products (No Diagnostic Substances),910.47,,,,
Bank 1,2022-09-26,Green-Turcotte,,648.63,,,,
Bank 1,2023-01-17,"Ward, Rath and Oberbrunner",,796.22,,,,
Credit Card 2,2023-04-17,O'Connell-Hudson,n/a,853.99,,,,
Credit Card 2,2023-02-04,"Collier, Doyle and Barton",Environmental Services,-706.46,,,,
Bank 2,2022-04-13,Stark LLC,n/a,-653.19,,,,
Credit Card 1,2022-01-27,"Carroll, O'Reilly and Thompson",,445.93,,,,
Bank 1,2022-06-15,Roberts-Bruen,Major Pharmaceuticals,699.68,,,,
Credit Card 1,2023-03-04,Rippin Group,,-707.42,,,,
Bank 2,2023-03-29,"Hammes, Cassin and Hahn",,197.37,,,,
Credit Card 2,2023-04-04,Macejkovic Group,Major Banks,524.77,,,,
Bank 1,2022-05-03,Tremblay-Streich,Electrical Products,-770.19,,,,
Credit Card 1,2023-01-15,Lind-Daugherty,,-674.87,,,,
Credit Card 2,2022-01-19,"Herman, O'Conner and Osinski",,782.28,,,,
Credit Card 1,2022-10-02,"Legros, Miller and Metz",,-221.91,,,,
Bank 2,2022-02-23,"Littel, Grady and Flatley",,29.23,,,,
Credit Card 1,2022-01-26,"Gislason, Schumm and Koss",Major Chemicals,97.53,,,,
Credit Card 2,2023-01-07,Stanton and Sons,Telecommunications Equipment,192.89,,,,
Bank 2,2022-07-14,Wilderman Inc,Computer Software: Prepackaged Software,233.51,,,,
Credit Card 2,2023-04-07,Kris LLC,,-854.81,,,,
Bank 1,2023-04-07,"Dietrich, Bergnaum and Daugherty",Medical Specialities,987.85,,,,
Credit Card 1,2022-02-26,Buckridge Group,Computer Software: Prepackaged Software,74.09,,,,
Bank 2,2023-02-09,"Skiles, Senger and Hane",n/a,80.38,,,,
Credit Card 1,2022-02-17,Towne-Beahan,Services-Misc. Amusement & Recreation,-353.11,,,,
Credit Card 2,2022-12-19,Ratke-Schimmel,Major Pharmaceuticals,-149.85,,,,
Credit Card 1,2022-09-24,"Considine, Bosco and Halvorson",Oil & Gas Production,975.95,,,,
Bank 2,2022-08-02,"Kunze, Turcotte and Bins",Major Pharmaceuticals,422.01,,,,
Credit Card 2,2022-12-22,"Johnson, Heller and Howell",n/a,-459.95,,,,
Credit Card 1,2022-10-24,Hane LLC,n/a,718.92,,,,
Credit Card 2,2022-11-06,Durgan Group,n/a,-293.28,,,,
Credit Card 1,2022-01-30,"Kuvalis, Towne and McCullough",Movies/Entertainment,95.08,,,,
Bank 1,2022-08-20,"Terry, Rowe and Wuckert",Accident &Health Insurance,-101.52,,,,
Credit Card 2,2022-11-10,Lesch and Sons,Property-Casualty Insurers,685.93,,,,
Bank 1,2022-03-10,Little-Hodkiewicz,,-373.78,,,,
Credit Card 2,2023-03-07,Heaney and Sons,Restaurants,590.55,,,,
Bank 2,2023-04-10,Buckridge-Gorczany,Property-Casualty Insurers,45.79,,,,
Credit Card 2,2022-05-02,Runte Group,Business Services,-103.57,,,,
Bank 1,2022-12-18,Oberbrunner-Spencer,,821.82,,,,
Credit Card 2,2023-01-08,Farrell-Trantow,,-11.83,,,,
Bank 1,2022-08-30,"Reichel, Hodkiewicz and D'Amore",,-970.71,,,,
Credit Card 2,2022-02-10,Block-Johnson,Electric Utilities: Central,739.86,,,,
Credit Card 1,2022-07-07,Willms Inc,,-266.8,,,,
Bank 1,2023-01-31,"Nikolaus, Willms and Nicolas",,-356.97,,,,
Credit Card 1,2022-05-19,Collier Group,Industrial Machinery/Components,460.28,,,,
Bank 1,2022-08-26,Raynor-O'Connell,Integrated oil Companies,-956.93,,,,
Bank 1,2022-02-21,Schuster-Prosacco,Marine Transportation,-683.42,,,,
Credit Card 2,2022-12-13,Osinski-Bednar,,146.49,,,,
Credit Card 1,2022-01-28,"Bradtke, Effertz and Larson",Catalog/Specialty Distribution,-152.41,,,,
Credit Card 2,2022-07-05,Bahringer-Schimmel,,393.89,,,,
Bank 1,2023-03-01,Nikolaus Inc,n/a,-640.43,,,,
Bank 1,2023-02-27,Bins Inc,Power Generation,-878.01,,,,
Credit Card 1,2022-04-23,Kub-Lockman,Commercial Banks,-925.96,,,,
Bank 1,2022-03-12,"Kuphal, Mante and Stehr",,-332.32,,,,
Bank 1,2022-01-06,Orn-Gutmann,Building operators,2.71,,,,
Bank 1,2022-12-18,Welch-Heidenreich,,-913.22,,,,
Bank 1,2023-02-28,Hamill Inc,,612.9,,,,
Bank 1,2023-05-03,Abshire-West,Industrial Machinery/Components,551.79,,,,
Bank 2,2022-07-13,Ratke Group,n/a,733.32,,,,
Bank 2,2022-01-04,"Connelly, Christiansen and Lang",Biotechnology: In Vitro & In Vivo Diagnostic Substances,-325.76,,,,
Bank 2,2022-12-05,Conn-Tromp,Major Chemicals,-478.39,,,,
Credit Card 2,2022-04-16,Smith and Sons,n/a,511.88,,,,
Bank 1,2022-05-10,Block Inc,,-545.49,,,,
Credit Card 1,2023-04-05,"West, Schuster and Mante",,591.34,,,,
Bank 2,2023-03-14,"Leffler, Walker and Little",,-628.81,,,,
Bank 2,2022-09-08,Beer and Sons,Major Banks,-536.23,,,,
Bank 1,2022-01-28,"Wiegand, Steuber and Jerde",,-169.93,,,,
Bank 2,2023-02-04,"Rosenbaum, D'Amore and Grant",,-676.31,,,,
Bank 2,2022-04-03,"Dach, Mraz and Emard",n/a,-576.55,,,,
Bank 2,2022-05-02,Jerde-Schroeder,,31.57,,,,
Credit Card 1,2022-08-03,Douglas and Sons,n/a,435.13,,,,
Credit Card 2,2022-10-13,"Weimann, Wisoky and Hyatt",Computer Software: Prepackaged Software,-196.76,,,,
Bank 1,2023-02-05,Grady and Sons,,537.64,,,,
Credit Card 2,2022-02-14,Beier-Armstrong,,-996.63,,,,
Credit Card 2,2022-04-14,"Hoppe, Sanford and Friesen",,-942.01,,,,
